Top pages,Clicks,Impressions,CTR,Position
https://www.ideallivs.com/,49,1052,4.66%,6.16
https://www.ideallivs.com/product/d-va-svartfarg-henna,4,70,5.71%,18.07
https://www.ideallivs.com/product/indian-costus-powder,3,1178,0.25%,5.35
https://www.ideallivs.com/product/supreme-pan-parag-100g,3,406,0.74%,5.86
https://www.ideallivs.com/product/haldirams-frozen-phulka-roti-360gm,3,205,1.46%,5.97
https://www.ideallivs.com/product/shan-vermicelli-150-gm,3,93,3.23%,6.02
https://www.ideallivs.com/product/ig-sona-masoori-rice-5kg-new-pack,3,46,6.52%,7.96
https://www.ideallivs.com/product/eco-by-life-henna-natural-35g,3,33,9.09%,4.94
https://www.ideallivs.com/product/ecobylife-black-henna-svart-henna-hair-colour,3,27,11.11%,17.26
https://www.ideallivs.com/product/ig-sella-basmati-rice-5kg,3,11,27.27%,9
https://www.ideallivs.com/product/haldirams-frozen-punjabi-samosa,2,206,0.97%,6.3
https://www.ideallivs.com/product/haldirams-frozen-aloo-tikki,2,180,1.11%,6.41
https://www.ideallivs.com/product/power-energy-drink-250ml-with-pant,2,147,1.36%,8.62
https://www.ideallivs.com/delivery-information,2,107,1.87%,7.21
https://www.ideallivs.com/product/india-gate-classic-basmati-rice-5kg,2,94,2.13%,8.13
https://www.ideallivs.com/product/fresh-curry-leaves-packet,2,77,2.6%,6.87
https://www.ideallivs.com/product/parle-platina-hide-n-seek-vanilla-112g,2,73,2.74%,4.49
https://www.ideallivs.com/product/eco-by-life-henna-black-35g,2,49,4.08%,8.14
https://www.ideallivs.com/product/bikano-besan-burfi,2,29,6.9%,4.34
https://www.ideallivs.com/product/fanta-orange-330ml-med-pant,2,25,8%,6.48
https://www.ideallivs.com/product/crown-seekh-kebab-chicken-15-pcs,2,16,12.5%,7.94
https://www.ideallivs.com/product/annam-peanut-oil-1-liter,2,11,18.18%,8.45
https://www.ideallivs.com/product/ecobylife-henna-hair-colour-dark-brown,2,10,20%,6.2
https://www.ideallivs.com/product/malik-foods-rajgira-laddu-100g,2,6,33.33%,6.5
https://www.ideallivs.com/shop/anmol-electric-tandoor-oven,2,5,40%,6.2
https://www.ideallivs.com/product/fortune-kachi-ghani-pure-mustard-oil-1-l,1,331,0.3%,6.73
https://www.ideallivs.com/product/ktc-mustard-oil-pure-250-ml,1,315,0.32%,7.71
https://www.ideallivs.com/product/vatika-black-seeds-hair-oil,1,287,0.35%,8.3
https://www.ideallivs.com/product/haldirams-frozen-cocktail-samosa,1,264,0.38%,6.16
https://www.ideallivs.com/product/india-gate-classic-basmati-rice-1kg,1,240,0.42%,10.93
https://www.ideallivs.com/product/top-op-lindi-pepper,1,212,0.47%,2.78
https://www.ideallivs.com/product/pataks-korma-paste-283-g,1,185,0.54%,14.56
https://www.ideallivs.com/product/haldirams-frozen-tandoori-garlic-naanfamily-pck-1-28kg,1,175,0.57%,5.18
https://www.ideallivs.com/product/haldirams-frozen-cocktail-samosas-28-pcs-650g,1,157,0.64%,6.84
https://www.ideallivs.com/product/vatika-enriched-coconut-hair-oil,1,141,0.71%,15.39
https://www.ideallivs.com/product/al-baker-chakki-fresh-atta,1,138,0.72%,5.99
https://www.ideallivs.com/product/deshi-chinigura-aromatic-rice-1kg,1,134,0.75%,5.1
https://www.ideallivs.com/product/haldiram-chana-jor-garam,1,122,0.82%,9.71
https://www.ideallivs.com/product/jasmin-ris-aaaaa-jasmine-rice,1,104,0.96%,3.97
https://www.ideallivs.com/product/guard-ultimate-basmati-rice-1kg,1,101,0.99%,7.81
https://www.ideallivs.com/product/mtr-khaman-dhokla-ready-mix,1,100,1%,5.7
https://www.ideallivs.com/product/elephant-atta-medium-25-kg,1,100,1%,19.21
https://www.ideallivs.com/product/lg-hing-50-gm,1,95,1.05%,4.09
https://www.ideallivs.com/product/garimaa-gold-long-grain-basmati-rice,1,91,1.1%,15.54
https://www.ideallivs.com/product/eco-by-life-henna-red-35g,1,90,1.11%,10.39
https://www.ideallivs.com/product/haldirams-peanut-gajjak,1,88,1.14%,5.14
https://www.ideallivs.com/product/brown-basmati-rice-5-kg,1,88,1.14%,6.94
https://www.ideallivs.com/product/annam-roasted-rava,1,80,1.25%,8.12
https://www.ideallivs.com/product/neha-rachni-mehandi,1,62,1.61%,5.85
https://www.ideallivs.com/product/haldiram-rasgulla-1kg,1,60,1.67%,4.9
https://www.ideallivs.com/product/pataks-mild-curry-paste,1,60,1.67%,21.73
https://www.ideallivs.com/product/hot-chicken-flavor-ramen,1,53,1.89%,6.09
https://www.ideallivs.com/product/electric-tandoor-oven,1,52,1.92%,6.46
https://www.ideallivs.com/brand/national,1,52,1.92%,12.67
https://www.ideallivs.com/product/nestle-nido-milk-powder-400-gm,1,50,2%,6.02
https://www.ideallivs.com/product/fortune-chakki-fresh-atta-5-kg,1,48,2.08%,8.69
https://www.ideallivs.com/product/national-kasuri-methi-50g,1,44,2.27%,8.5
https://www.ideallivs.com/product/fresh-amla,1,44,2.27%,8.86
https://www.ideallivs.com/product/organic-cow-ghee,1,43,2.33%,5.86
https://www.ideallivs.com/shop,1,40,2.5%,2.1
https://www.ideallivs.com/product/heera-msd-chineese-salt-100g,1,39,2.56%,7.69
https://www.ideallivs.com/product/pillsbury-chakki-atta-5-kg,1,37,2.7%,5.46
https://www.ideallivs.com/product/ktc-castor-oil-250-ml,1,35,2.86%,7.77
https://www.ideallivs.com/product/india-gate-thin-poha-500g,1,35,2.86%,18.37
https://www.ideallivs.com/product/national-delhi-nihari-82-gm-2packs,1,34,2.94%,5.38
https://www.ideallivs.com/product-category/flour,1,34,2.94%,8.03
https://www.ideallivs.com/product/fresh-farsk-paneer,1,33,3.03%,8.45
https://www.ideallivs.com/product/maggi-masala-noodle-8-pack-70gm,1,31,3.23%,10.97
https://www.ideallivs.com/product/patanjli-cow-ghee-1-kg,1,28,3.57%,6.21
https://www.ideallivs.com/product/idhayam-sesame-oil?add-to-cart=249,1,28,3.57%,13.43
https://www.ideallivs.com/product/alwaid-solrosolja-5-lit,1,27,3.7%,7.74
https://www.ideallivs.com/product/mughal-plain-paratha-family-pack,1,24,4.17%,3.46
https://www.ideallivs.com/product/kaalar-1121-basmati-sella-rice-5-kg,1,24,4.17%,6.25
https://www.ideallivs.com/brand/mtr,1,24,4.17%,9.17
https://www.ideallivs.com/brand/anmol,1,23,4.35%,9
https://www.ideallivs.com/product/sai-gluten-free-jeera-ajwain-cookies-200g,1,21,4.76%,3
https://www.ideallivs.com/product/national-sindhi-biryani-82g,1,21,4.76%,4.24
https://www.ideallivs.com/product/mer-parondryck-33cl,1,21,4.76%,5.24
https://www.ideallivs.com/product-category/rice-grains,1,20,5%,5.35
https://www.ideallivs.com/product/ab-gram-flour-1-kg,1,20,5%,6.65
https://www.ideallivs.com/product/national-chana-masala-90gx2,1,19,5.26%,7.68
https://www.ideallivs.com/product/fresh-idly-batter-900ml,1,17,5.88%,44.29
https://www.ideallivs.com/product/metro-agarbati-amber,1,15,6.67%,34.13
https://www.ideallivs.com/product/trs-puffed-rice,1,14,7.14%,6.43
https://www.ideallivs.com/product/fresh-dosa-batter-900ml,1,14,7.14%,6.64
https://www.ideallivs.com/product/anmol-khoya-kulfi,1,14,7.14%,7.57
https://www.ideallivs.com/product/trs-black-cardamom-200g,1,13,7.69%,14.38
https://www.ideallivs.com/product/pg-tips-loose-tea-1-5kg,1,11,9.09%,3.18
https://www.ideallivs.com/product/hr-soan-papdi-250gm,1,11,9.09%,3.64
https://www.ideallivs.com/product/national-cornflour-300g,1,10,10%,4.6
https://www.ideallivs.com/product/alibaba-pesi-goor-1-kg,1,9,11.11%,4.11
https://www.ideallivs.com/product/alibaba-kamarkas-100g,1,8,12.5%,5.75
https://www.ideallivs.com/product/hemani-black-seed-oil-60ml,1,8,12.5%,11.38
https://www.ideallivs.com/product/kolson-slanty-salted-60g,1,7,14.29%,4.71
https://www.ideallivs.com/product/alibaba-toor-dal-1-kg,1,7,14.29%,5.71
https://www.ideallivs.com/product/khanum-butter-ghee-1-kg?add-to-cart=255,1,7,14.29%,9.14
https://www.ideallivs.com/product/heera-soya-beans-2-kg,1,6,16.67%,3.83
https://www.ideallivs.com/brand/subhan,1,6,16.67%,7.17
https://www.ideallivs.com/product/pg-tips-original-black-tea-bags-300-870-g,1,6,16.67%,11.17
https://www.ideallivs.com/product/bombay-wala-garlic-butter-naan-320g,1,3,33.33%,3.67
https://www.ideallivs.com/product/national-green-chilli-sauce-300g,1,2,50%,4.5
https://www.ideallivs.com/product/fortune-kachi-ghani-pure-mustard-oil-1-l?add-to-cart=255,1,2,50%,19.5
https://www.ideallivs.com/product/haldirams-frozen-home-style-paratha360-gms?add-to-cart=508,1,1,100%,1
https://www.ideallivs.com/product-category/lentils-beans-dals/masoor-dal,1,1,100%,3
https://www.ideallivs.com/product/national-karahi-gosht-94gm-2packs?add-to-cart=114,1,1,100%,9
https://www.ideallivs.com/product/idhayam-sesame-oil,0,250,0%,10.66
https://www.ideallivs.com/product/ig-jeerakasala-rice-5kg,0,219,0%,8.04
https://www.ideallivs.com/product/tapal-danedar-loose-tea-450gm,0,218,0%,5.58
https://www.ideallivs.com/product/hamdard-rooh-afza-syrup-800-ml,0,190,0%,17.02
https://www.ideallivs.com/product/mdh-butter-chicken-masala-100g,0,188,0%,16.68
https://www.ideallivs.com/product/heera-desiccated-coconut-fine,0,179,0%,1.57
https://www.ideallivs.com/product/tapal-danedar-teabags-300750-g,0,179,0%,8.45
https://www.ideallivs.com/product/mdh-hyderabadi-biryani-masala,0,151,0%,4.85
